Feature,Mean_Class0,Mean_Class1,Median_Class0,Median_Class1,Std_Class0,Std_Class1,CohenD,AbsCohenD,T_pvalue,U_pvalue,ROC_AUC,N_Class0,N_Class1,T_pvalue_FDR,U_pvalue_FDR,Significant_T,Significant_U
mfcc_03_p90,40.874429638792826,41.39907272045429,41.0522518157959,39.27779006958008,13.809177867698317,15.837622279538312,0.03640824748186086,0.03640824748186086,0.8040455098955551,0.9620630083141548,0.502063789868668,164,65,0.9221221232368605,1.0,False,False
mfcc_08_p90,19.412906158261183,19.572541390932525,18.489322662353516,19.257429122924805,6.3326352736886005,7.042302493514658,0.024407128587076724,0.024407128587076724,0.86789261427678,0.9638262806021266,0.501969981238274,164,65,0.9478290096084048,1.0,False,False
mfcc_10_std,10.993295361356038,11.076733325077937,10.86405611038208,10.736634254455566,1.433430415936338,1.5435822335588656,0.05694161514115115,0.05694161514115115,0.6980104290084141,0.972645123611031,0.5015009380863039,164,65,0.8672250784649994,1.0,False,False
mfcc_08_mean,3.924492997912372,4.054568850306365,3.7654378414154053,4.617883682250977,6.170635791790974,5.749178037175301,0.021483163830398694,0.021483163830398694,0.8835977886193619,0.9867617828560807,0.500750469043152,164,65,0.9478290096084048,1.0,False,False
mfcc_14_max,31.953944159717096,32.08691535362831,31.400390625,30.924570083618164,6.294199726588907,6.04502575834567,0.021360979413134494,0.021360979413134494,0.8842551126224752,0.9885267474536074,0.500656660412758,164,65,0.9478290096084048,1.0,False,False
mfcc_07_mean,4.407349158305584,4.381442544551996,5.16336464881897,4.978935718536377,6.5018684753730165,5.225069297954058,-0.004199688452030301,0.004199688452030301,0.9771661042331308,0.9920568364625258,0.50046904315197,164,65,1.0,1.0,False,False
f0_valid_ratio,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,0.5,164,65,1.0,1.0,False,False
sample_rate,22050.0,22050.0,22050.0,22050.0,0.0,0.0,,,1.0,1.0,0.5,164,65,1.0,1.0,False,False
f0_min,50.0,50.0,50.0,50.0,0.0,0.0,,,1.0,1.0,0.5,164,65,1.0,1.0,False,False
spectral_flatness_mean,0.00015748739138132803,0.0001569177043333722,0.00014891984562658505,0.0001453220213302397,7.213718736248481e-05,6.944199023582479e-05,-0.00798019511666787,0.00798019511666787,0.9566268805409244,0.9973522399441136,0.499812382739212,164,65,0.9929544835994405,1.0,False,False
mfcc_09_mean,9.04054376174037,9.172343824689206,8.969026565551758,8.853522300720215,4.953897102344483,4.519925131690819,0.027256828454001958,0.027256828454001958,0.8526366136570783,0.9920568364625258,0.49953095684803,164,65,0.938472514360811,1.0,False,False
mfcc_14_std,8.781109138232905,8.8064483495859,8.74534797668457,8.63599967956543,0.7842053971296291,0.8054123332790112,0.03206512635967057,0.03206512635967057,0.8270234098680027,0.9867617828560807,0.49924953095684804,164,65,0.9347046957795055,1.0,False,False
spectral_centroid_mean,1251.1007119734722,1249.745035856046,1270.3193163746341,1256.3846621142516,131.24537596584153,158.29211932028994,-0.00972486436090358,0.00972486436090358,0.947157152074228,0.9127980860858674,0.4953095684803002,164,65,0.9929544835994405,0.9979925741205483,False,False
mfcc_02_p90,170.84406959719774,171.523433978741,170.82682037353516,170.3840789794922,16.563358564254564,15.162707102542184,0.04198599270572694,0.04198599270572694,0.774786443015941,0.9040304567880999,0.4948405253283302,164,65,0.9221221232368605,0.9950402343171032,False,False
mfcc_07_min,-58.8860629011945,-59.15088371863732,-57.74618911743164,-58.81036376953125,8.765944146052746,9.016905168829048,-0.02996584800301184,0.02996584800301184,0.838184933550859,0.902278299398951,0.49474671669793624,164,65,0.9347046957795055,0.9950402343171032,False,False
mfcc_08_median,4.076530468536586,4.0599285391660835,4.066617965698242,4.485177993774414,6.003613029935213,5.6229772278437515,-0.00281446641413844,0.00281446641413844,0.9846964604592993,0.8621270298480869,0.4925891181988743,164,65,1.0,0.9618287952046682,False,False
spectral_rolloff_std,1186.5684084346392,1180.0872185164021,1171.504884698011,1188.6923156967166,267.84025674268855,308.47194322357535,-0.023155906841895342,0.023155906841895342,0.8746071183366326,0.8499725673797351,0.4919324577861164,164,65,0.9478290096084048,0.9606102675940758,False,False
spectral_rolloff_mean,2258.0849753819807,2271.8774562837507,2242.3965464950234,2183.946241421284,344.2978779240509,423.95727748120424,0.037428293065956214,0.037428293065956214,0.7986726502581502,0.8499725673797351,0.49193245778611633,164,65,0.9221221232368605,0.9606102675940758,False,False
spectral_bandwidth_std,446.500150992123,445.5107245834791,445.51203845383066,440.7615861998199,58.0919029310253,55.093539557637484,-0.017278801652531133,0.017278801652531133,0.9062595984830667,0.8482390522815054,0.49183864915572234,164,65,0.9599240686602448,0.9606102675940758,False,False
mfcc_09_p90,24.605035555071947,24.27866278428298,24.07339859008789,23.894813537597656,6.33328258536106,5.324336170390588,-0.05380510005082447,0.05380510005082447,0.7138864669582072,0.8447742315003046,0.49165103189493436,164,65,0.8802810570010976,0.9606102675940758,False,False
mfcc_07_p10,-14.336031403301693,-14.603281450271606,-13.546336650848389,-14.30634593963623,7.186193185353689,5.912763864354577,-0.03900796648579749,0.03900796648579749,0.7903710697969111,0.8034488953201931,0.4893996247654785,164,65,0.9221221232368605,0.9606102675940758,False,False
f0_max,1997.9928764842668,1995.3003515122514,2004.5454545454545,2004.5454545454545,34.774347949183664,36.64611719916666,-0.07624932406747006,0.07624932406747006,0.6034090474267988,0.4256580118688673,0.4879924953095685,164,65,0.7980571272418951,0.6289001256440923,False,False
mfcc_03_max,82.3840913772583,81.9268908574031,81.90056228637695,78.95052337646484,14.41102040967626,18.834561012292696,-0.028965748965232876,0.028965748965232876,0.8435139937522367,0.7308343402698303,0.4853658536585366,164,65,0.9347046957795055,0.9149376473607036,False,False
mfcc_13_std,9.00135276084993,8.993458131643441,9.002997398376465,8.742565155029297,0.9125892957671072,0.9060950321664112,-0.008668148787145861,0.008668148787145861,0.9528919896470238,0.7109624978367826,0.4842401500938086,164,65,0.9929544835994405,0.9038592995754445,False,False
mfcc_15_std,7.940716749284325,7.916316369863657,7.883214950561523,7.858541011810303,0.6551488616715712,0.6972019866260979,-0.036567279529509486,0.036567279529509486,0.8032072240623622,0.6398519203201818,0.48011257035647287,164,65,0.9221221232368605,0.826265471909526,False,False
mfcc_01_max,17.05923920315577,16.07094742151407,16.277708053588867,12.12739086151123,33.18179042028433,34.4105654830152,-0.029472401760323626,0.029472401760323626,0.8408133603289337,0.6366909098482489,0.47992495309568484,164,65,0.9347046957795055,0.826265471909526,False,False
mfcc_07_max,56.0241515229388,55.580570631760814,55.54509162902832,53.5064697265625,10.425556374035487,10.1247688574548,-0.04289270929197193,0.04289270929197193,0.7700591691051418,0.6272476650554356,0.47936210131332085,164,65,0.9221221232368605,0.826265471909526,False,False
