fold,auc,balanced_accuracy,mcc,n_train,n_test,group
12,0.5151515151515151,0.4813519813519813,-0.03387580815773417,183,46,Energy
13,0.42657342657342656,0.4347319347319347,-0.11766367798716981,183,46,Energy
14,0.5576923076923077,0.5120192307692308,0.02192645048267573,184,45,Energy
0,0.6130536130536131,0.6107226107226107,0.20017752139298775,183,46,Spectral
1,0.5058275058275058,0.5268065268065267,0.04828045495852676,183,46,Spectral
2,0.7878787878787878,0.7412587412587412,0.43452409462674085,183,46,Spectral
3,0.5571095571095572,0.5722610722610723,0.13126875661121992,183,46,Spectral
4,0.5841346153846154,0.6045673076923077,0.1900016266558477,184,45,Spectral
5,0.6666666666666667,0.6864801864801865,0.3525905902319634,183,46,Spectral
6,0.6596736596736598,0.641025641025641,0.2579277333857735,183,46,Spectral
7,0.5011655011655012,0.48018648018648025,-0.03623778072362107,183,46,Spectral
8,0.6643356643356644,0.548951048951049,0.09032446046618911,183,46,Spectral
9,0.6923076923076923,0.7355769230769231,0.4272028561800205,184,45,Spectral
10,0.6107226107226107,0.6794871794871795,0.3260546535181914,183,46,Spectral
11,0.6923076923076923,0.641025641025641,0.2579277333857735,183,46,Spectral
12,0.6107226107226107,0.6037296037296037,0.18753473056816747,183,46,Spectral
13,0.44755244755244755,0.48018648018648025,-0.03623778072362107,183,46,Spectral
14,0.7427884615384615,0.6586538461538461,0.28827833009852755,184,45,Spectral
0,0.7319347319347319,0.6643356643356644,0.29710558438327656,183,46,F0
1,0.5128205128205128,0.5034965034965035,0.0063213954124101395,183,46,F0
2,0.6200466200466201,0.534965034965035,0.06351714029575158,183,46,F0
3,0.5594405594405595,0.6037296037296037,0.18753473056816747,183,46,F0
4,0.5721153846153846,0.5817307692307692,0.15000259522305961,184,45,F0
5,0.5641025641025641,0.5256410256410257,0.04848120615689497,183,46,F0
6,0.5477855477855478,0.5268065268065267,0.04828045495852676,183,46,F0
7,0.6736596736596737,0.5967365967365967,0.18047871354020087,183,46,F0
8,0.6946386946386947,0.6177156177156178,0.21961867551277453,183,46,F0
9,0.5264423076923077,0.5649038461538461,0.12009611535381536,184,45,F0
10,0.38461538461538464,0.4347319347319347,-0.11766367798716981,183,46,F0
11,0.6107226107226108,0.5955710955710956,0.17229324276692723,183,46,F0
12,0.6247086247086248,0.5804195804195804,0.14484136487558028,183,46,F0
13,0.5594405594405595,0.6188811188811189,0.21431598490520215,183,46,F0
14,0.7139423076923077,0.7283653846153846,0.4166025591708389,184,45,F0
0,0.6736596736596737,0.6013986013986015,0.21407218495721234,183,46,MFCC
1,0.35664335664335667,0.43356643356643354,-0.1276202917548147,183,46,MFCC
2,0.5524475524475525,0.6037296037296037,0.18753473056816747,183,46,MFCC
3,0.4475524475524476,0.5256410256410257,0.04848120615689497,183,46,MFCC
4,0.7355769230769231,0.7067307692307692,0.4360597289442247,184,45,MFCC
5,0.592074592074592,0.5407925407925408,0.07836333704243009,183,46,MFCC
6,0.5501165501165501,0.48717948717948717,-0.024628477356192315,183,46,MFCC
7,0.6736596736596737,0.548951048951049,0.09032446046618911,183,46,MFCC
8,0.5291375291375291,0.5326340326340326,0.06692668339137377,183,46,MFCC
9,0.608173076923077,0.5588942307692308,0.11011486187354486,184,45,MFCC
10,0.6596736596736597,0.6177156177156178,0.21961867551277453,183,46,MFCC
11,0.5944055944055944,0.5174825174825175,0.03496503496503497,183,46,MFCC
12,0.5244755244755245,0.4813519813519813,-0.03387580815773417,183,46,MFCC
13,0.5221445221445221,0.47902097902097907,-0.043024296465883134,183,46,MFCC
14,0.6105769230769231,0.5588942307692308,0.11011486187354486,184,45,MFCC
0,0.6456876456876457,0.6713286713286714,0.3196430227760184,183,46,Temporal+Spectral
1,0.5291375291375292,0.5722610722610723,0.13126875661121992,183,46,Temporal+Spectral
2,0.7902097902097902,0.7948717948717949,0.5310850045437944,183,46,Temporal+Spectral
3,0.5547785547785549,0.5710955710955711,0.14219114219114218,183,46,Temporal+Spectral
4,0.5961538461538463,0.6045673076923077,0.1900016266558477,184,45,Temporal+Spectral
5,0.5571095571095571,0.47202797202797203,-0.05288858853479451,183,46,Temporal+Spectral
6,0.6783216783216783,0.5874125874125874,0.15987256201597533,183,46,Temporal+Spectral
7,0.5221445221445221,0.5186480186480187,0.03387580815773417,183,46,Temporal+Spectral
8,0.6806526806526807,0.6713286713286714,0.3196430227760184,183,46,Temporal+Spectral
9,0.7307692307692307,0.7740384615384616,0.49793529744291115,184,45,Temporal+Spectral
10,0.6363636363636365,0.6561771561771562,0.2881780405349843,183,46,Temporal+Spectral
11,0.7575757575757576,0.7027972027972028,0.36559785660299193,183,46,Temporal+Spectral
12,0.6503496503496504,0.6037296037296037,0.18753473056816747,183,46,Temporal+Spectral
13,0.46386946386946387,0.4487179487179487,-0.10036563193274914,183,46,Temporal+Spectral
14,0.7043269230769231,0.6826923076923077,0.34596959434638413,184,45,Temporal+Spectral
0,0.648018648018648,0.6095571095571095,0.21441748640178224,183,46,Temporal+Spectral+F0
1,0.5477855477855478,0.6025641025641025,0.18925125050058672,183,46,Temporal+Spectral+F0
2,0.7808857808857809,0.7261072261072261,0.4076205987412668,183,46,Temporal+Spectral+F0
3,0.5850815850815851,0.6025641025641025,0.18925125050058672,183,46,Temporal+Spectral+F0
4,0.59375,0.5661057692307692,0.12059547765471652,184,45,Temporal+Spectral+F0
5,0.5594405594405595,0.48717948717948717,-0.024628477356192315,183,46,Temporal+Spectral+F0
6,0.7132867132867133,0.6107226107226107,0.20017752139298775,183,46,Temporal+Spectral+F0
7,0.5174825174825175,0.5337995337995338,0.061817390646177126,183,46,Temporal+Spectral+F0
8,0.7365967365967365,0.6864801864801865,0.3525905902319634,183,46,Temporal+Spectral+F0
9,0.6634615384615384,0.7199519230769231,0.39965859400023135,184,45,Temporal+Spectral+F0
10,0.5337995337995338,0.548951048951049,0.09032446046618911,183,46,Temporal+Spectral+F0
11,0.7552447552447552,0.7261072261072261,0.4076205987412668,183,46,Temporal+Spectral+F0
12,0.6806526806526806,0.6107226107226107,0.20017752139298775,183,46,Temporal+Spectral+F0
13,0.49650349650349646,0.48717948717948717,-0.024628477356192315,183,46,Temporal+Spectral+F0
14,0.7379807692307692,0.7367788461538461,0.44839480319893205,184,45,Temporal+Spectral+F0
0,0.6783216783216783,0.5629370629370629,0.13740858372430334,183,46,All Features
1,0.4055944055944056,0.3951048951048951,-0.2052933380442596,183,46,All Features
2,0.6247086247086248,0.6188811188811189,0.21431598490520215,183,46,All Features
3,0.48251748251748255,0.4557109557109557,-0.09669492928747273,183,46,All Features
4,0.7716346153846154,0.7067307692307692,0.4360597289442247,184,45,All Features
5,0.6037296037296037,0.5023310023310024,0.0045620741787613245,183,46,All Features
6,0.5361305361305362,0.4405594405594406,-0.12549059118181413,183,46,All Features
7,0.6293706293706293,0.4953379953379954,-0.008602329568208486,183,46,All Features
8,0.6293706293706294,0.5326340326340326,0.06692668339137377,183,46,All Features
9,0.6201923076923077,0.5360576923076923,0.06933752452815364,184,45,All Features
10,0.7086247086247086,0.6095571095571095,0.21441748640178224,183,46,All Features
11,0.6130536130536131,0.4487179487179487,-0.10036563193274914,183,46,All Features
12,0.5990675990675991,0.5722610722610723,0.13126875661121992,183,46,All Features
13,0.5547785547785549,0.5093240093240093,0.02035682721841531,183,46,All Features
14,0.6850961538461539,0.6514423076923077,0.2802242691589025,184,45,All Features
0,0.6550116550116549,0.6631701631701632,0.3193451925132927,183,46,PCA-reduced
1,0.48251748251748244,0.5337995337995338,0.061817390646177126,183,46,PCA-reduced
2,0.6876456876456876,0.6876456876456877,0.33796318470968734,183,46,PCA-reduced
3,0.46853146853146854,0.5407925407925408,0.07836333704243009,183,46,PCA-reduced
4,0.625,0.6586538461538461,0.28827833009852755,184,45,PCA-reduced
5,0.6876456876456877,0.6864801864801865,0.3525905902319634,183,46,PCA-reduced
6,0.7016317016317016,0.6794871794871795,0.3260546535181914,183,46,PCA-reduced
7,0.5804195804195804,0.5652680652680653,0.11766367798716981,183,46,PCA-reduced
8,0.6037296037296037,0.6177156177156178,0.21961867551277453,183,46,PCA-reduced
9,0.6394230769230769,0.6586538461538461,0.28827833009852755,184,45,PCA-reduced
10,0.5431235431235432,0.6188811188811189,0.21431598490520215,183,46,PCA-reduced
11,0.6923076923076923,0.6258741258741258,0.22866170506470568,183,46,PCA-reduced
12,0.5617715617715617,0.5571095571095571,0.10324945840269895,183,46,PCA-reduced
13,0.48717948717948717,0.48717948717948717,-0.024628477356192315,183,46,PCA-reduced
14,0.7572115384615385,0.6899038461538461,0.348535441841815,184,45,PCA-reduced
