Model,Mean_AUC,Std_AUC,Mean_PR_AUC,Mean_BalAcc,Mean_MCC
ElasticNet,0.5946192696192696,0.09465890501823165,0.3582621818926665,0.5328088578088578,0.0627598379188469
LASSO,0.5787247474747474,0.10318600319130289,0.3571104622222061,0.5292176573426574,0.056775513004131126
Ridge,0.6094794094794094,0.0902117251731073,0.366413427940535,0.5358391608391607,0.06922873993652233
LinearSVM,0.6124854312354312,0.0944787238585928,0.37678706114011246,0.49650349650349646,-0.019412427783805846
RandomForest,0.6147217365967367,0.09739907930594675,0.4069436380164767,0.5299412393162394,0.09717955058336297
