fold,roc_auc,pr_auc,balanced_acc,mcc,model
0,0.6876456876456876,0.39494949322069134,0.5629370629370629,0.13740858372430334,ElasticNet
1,0.37762237762237766,0.21818050109270998,0.3951048951048951,-0.2052933380442596,ElasticNet
2,0.6317016317016316,0.34576540981943443,0.6188811188811189,0.21431598490520215,ElasticNet
3,0.4405594405594406,0.30860270928050426,0.4557109557109557,-0.09669492928747273,ElasticNet
4,0.7548076923076923,0.5668272730334442,0.7067307692307692,0.4360597289442247,ElasticNet
5,0.6037296037296038,0.31632198934610484,0.5023310023310024,0.0045620741787613245,ElasticNet
6,0.5407925407925409,0.3505505593019701,0.4557109557109557,-0.09669492928747273,ElasticNet
7,0.5967365967365968,0.317850624771407,0.47202797202797203,-0.05288858853479451,ElasticNet
8,0.5827505827505828,0.44265506747846994,0.5710955710955711,0.14219114219114218,ElasticNet
9,0.6057692307692307,0.3499324950764125,0.5360576923076923,0.06933752452815364,ElasticNet
10,0.6853146853146853,0.387556291893912,0.6025641025641025,0.18925125050058672,ElasticNet
11,0.6013986013986015,0.3144619685178347,0.47202797202797203,-0.05288858853479451,ElasticNet
12,0.5920745920745921,0.33091926407787514,0.5804195804195804,0.14484136487558028,ElasticNet
13,0.5501165501165501,0.29692324854194035,0.48601398601398604,-0.033228888017745054,ElasticNet
14,0.6682692307692308,0.432435832937287,0.5745192307692308,0.14111917664128826,ElasticNet
0,0.6946386946386947,0.4028984979187096,0.6317016317016317,0.29897004763535995,LASSO
1,0.35664335664335667,0.27766956327652853,0.3717948717948718,-0.26292625618039694,LASSO
2,0.5990675990675991,0.31924487577003846,0.5501165501165501,0.09060666757787866,LASSO
3,0.3682983682983683,0.2826109080323146,0.42540792540792544,-0.15297527632314004,LASSO
4,0.7163461538461539,0.5361515511948874,0.7295673076923077,0.45913461538461536,LASSO
5,0.6013986013986015,0.3163889856138011,0.5174825174825175,0.03496503496503497,LASSO
6,0.5221445221445222,0.2857694312635189,0.4557109557109557,-0.09669492928747273,LASSO
7,0.5897435897435898,0.30820159319733115,0.5104895104895105,0.01956998098628684,LASSO
8,0.5501165501165501,0.42322251339311034,0.5710955710955711,0.14219114219114218,LASSO
9,0.6201923076923077,0.34888885783915674,0.5432692307692308,0.08006407690254357,LASSO
10,0.662004662004662,0.35382846392917916,0.6025641025641025,0.18925125050058672,LASSO
11,0.5920745920745921,0.3691920893045126,0.43356643356643354,-0.1276202917548147,LASSO
12,0.5850815850815851,0.3355629744351607,0.5268065268065267,0.04828045495852676,LASSO
13,0.5524475524475524,0.3518625655892497,0.4941724941724942,-0.012302999135471972,LASSO
